EmployeeID,Age,YearsExperience,Salary,Dept_Engineering,Dept_Finance,Dept_HR,Dept_Marketing,Dept_Sales
1,-1.2461071165912017,-1.3580558055750882,-1.5921024801246564,0,0,0,0,1
2,0.9373372115951515,1.0028299409377415,1.084807353552768,0,0,0,1,0
3,0.7388422726691193,1.0028299409377415,0.6476482172925171,0,0,0,1,0
4,-0.5513748303500894,-0.6694641295088462,0.0,0,0,1,0,0
5,-1.6430969944432658,-1.653166523889192,-1.7193045787221564,0,0,1,0,0
6,1.7313169672992799,1.6914216170039835,1.7143638893544328,0,1,0,0,0
7,-0.2536324219610412,0.019127546557395805,0.053055837895666695,0,0,0,0,1
8,1.4335745589102318,1.593051377565949,1.6495808237954086,0,0,0,1,0
9,0.6395948032061033,0.6093489831856033,0.47189468400423495,1,0,0,0,0
10,1.0365846810581676,0.9044597014997069,0.7499677880580681,0,0,0,0,1
11,0.9373372115951515,3.494812952383859e-16,0.0,0,0,1,0,0
12,-1.1468596471281856,-1.2596855661370536,-1.381940483730391,0,1,0,0,0
13,-0.5513748303500894,-0.6694641295088462,-0.9671300018029662,0,0,0,1,0
14,0.0,0.019127546557395805,-0.2510936276647568,0,0,0,1,0
15,-0.05513748303500907,-0.17761293231867334,-0.4137067458242917,0,0,0,1,0
16,-1.742344463906282,-1.5547962844511574,-1.56522638197138,0,0,0,1,0
17,0.14335745589102303,0.31423826487149953,0.2560735202462017,0,0,1,0,0
18,-1.3453545860542178,-1.3580558055750882,-1.3354749600871507,0,0,0,0,1
19,0.9373372115951515,0.9044597014997069,0.7557555728619213,0,0,1,0,0
20,0.0,0.9044597014997069,0.852349468954942,0,0,1,0,0
21,1.6320694978362638,1.4946811381279144,1.522982237801388,0,0,1,0,0
22,0.9373372115951515,1.1995704198138106,1.07200717002835,1,0,0,0,0
23,-0.5513748303500894,-0.6694641295088462,-0.6814569261933041,0,0,0,0,1
24,1.7313169672992799,1.9865323353180873,1.8053607282150104,0,1,0,0,0
25,-0.35287989142405723,-0.37435341119474247,-0.5198326233103253,0,0,0,1,0
26,-0.6506222998131054,-0.6694641295088462,-0.8197228728740669,0,0,0,1,0
27,1.5328220283732477,1.4946811381279144,1.2226390789614467,0,0,1,0,0
28,0.0,-0.47272365063277705,-0.47860468764390507,0,1,0,0,0
29,-1.6430969944432658,-1.5547962844511574,0.0,0,0,1,0,0
30,-0.1543849524980251,-0.17761293231867334,-0.2600341886922468,0,0,1,0,0
31,1.1358321505211835,3.494812952383859e-16,1.3012254341481218,0,0,1,0,0
32,-1.1468596471281856,-1.161315326699019,-1.1778290034919483,1,0,0,0,0
33,-0.1543849524980251,-0.07924269288063876,-0.05343940249522785,0,0,0,0,1
34,-1.4446020555172339,-1.3580558055750882,-1.4655720503809369,0,0,1,0,0
35,0.0,0.8060894620616723,0.6574715116908515,0,0,1,0,0
36,-0.05513748303500907,3.494812952383859e-16,-0.07736609388141272,0,0,0,0,1
37,-0.6506222998131054,-0.37435341119474247,-0.7381986535110777,0,1,0,0,0
38,-1.0476121776651697,-0.7678343689468807,-1.0943337493420056,0,1,0,0,0
39,0.24260492535403907,0.41260850430953405,0.11341919048149214,1,0,0,0,0
40,0.6395948032061033,3.494812952383859e-16,0.661767004401403,0,0,0,1,0
